project,country,policy,level
SAEP2018,Germany,Technical,32.54
SAEP2018,Germany,Taxation,32.03
SAEP2018,Germany,Support,32.61
SAEP2018,Denmark,Technical,32.6
SAEP2018,Denmark,Taxation,27.76
SAEP2018,Denmark,Support,0.0
SAEP2018,France,Technical,32.42
SAEP2018,France,Taxation,31.92
SAEP2018,France,Support,31.92
SAEP2019,Germany,Technical,32.63
SAEP2019,Germany,Taxation,32.45
SAEP2019,Germany,Support,32.68
SAEP2019,Denmark,Technical,32.6
SAEP2019,Denmark,Taxation,28.22
SAEP2019,Denmark,Support,0.0
SAEP2019,France,Technical,32.64
SAEP2019,France,Taxation,32.44
SAEP2019,France,Support,32.44
SAEP2020,Germany,Technical,32.67
SAEP2020,Germany,Taxation,32.54
SAEP2020,Germany,Support,32.67
SAEP2020,Denmark,Technical,32.68
SAEP2020,Denmark,Taxation,32.54
SAEP2020,Denmark,Support,32.55
SAEP2020,France,Technical,32.66
SAEP2020,France,Taxation,32.54
SAEP2020,France,Support,32.54
SAEP2021,Germany,Technical,16.49
SAEP2021,Germany,Taxation,16.34
SAEP2021,Germany,Support,16.5
SAEP2021,Denmark,Technical,22.95
SAEP2021,Denmark,Taxation,15.6
SAEP2021,Denmark,Support,0.0
SAEP2021,France,Technical,16.48
SAEP2021,France,Taxation,16.26
SAEP2021,France,Support,16.26
SAEP2022,Germany,Technical,0.0
SAEP2022,Germany,Taxation,0.0
SAEP2022,Germany,Support,0.0
SAEP2022,Denmark,Technical,6.94
SAEP2022,Denmark,Taxation,0.0
SAEP2022,Denmark,Support,0.0
SAEP2022,France,Technical,0.0
SAEP2022,France,Taxation,0.0
SAEP2022,France,Support,0.0
SAEP2023,Germany,Technical,29.73
SAEP2023,Germany,Taxation,25.05
SAEP2023,Germany,Support,26.76
SAEP2023,Denmark,Technical,30.96
SAEP2023,Denmark,Taxation,18.76
SAEP2023,Denmark,Support,0.0
SAEP2023,France,Technical,25.83
SAEP2023,France,Taxation,17.65
SAEP2023,France,Support,17.68
