InstanceCode	DateTime(UTC)	ResolutionCode	AreaCode	AreaDisplayName	AreaTypeCode	MapCode	ContractType	Sequence	Price[Currency/MWh]	Currency	UpdateTime(UTC)
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 00:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	85.41	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 00:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	85	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 00:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	84.54	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 00:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	84.54	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 01:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	87.39	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 01:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	87.36	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 01:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	88.56	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 01:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	89.99	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 02:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	86.31	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 02:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	89.06	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 02:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	86.42	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 02:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	88.83	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 03:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	84.26	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 03:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	90.76	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 03:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	97.55	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 03:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	108.74	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 04:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	91.07	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 04:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	111.42	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 04:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	127.34	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 04:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	146.74	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 05:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	160.95	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 05:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	181.48	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 05:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	180.23	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 05:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	170.54	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 06:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	200.25	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 06:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	143.35	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 06:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	117.5	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 06:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	95.25	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 07:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	139.48	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 07:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	105.01	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 07:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	93.66	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 07:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	82.85	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 08:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	103.22	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 08:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	93.06	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 08:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	81.21	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 08:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	66.9	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 09:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	83.5	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 09:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	72.08	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 09:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	65.32	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 09:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	61.8	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 10:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	68.21	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 10:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	65.22	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 10:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	65.45	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 10:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	65.22	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 11:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	65.6	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 11:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	67.72	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 11:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	69.44	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 11:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	70.84	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 12:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	64.49	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 12:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	70.25	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 12:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	74.63	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 12:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	81.14	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 13:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	65.3	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 13:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	74.63	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 13:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	88.02	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 13:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	98.94	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 14:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	62.16	EUR	2025-09-30 13:12:30
9e7c1992cb4b008d04336ce129bdf486	2025-10-01 14:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	86.05	EUR	2025-09-30 13:12:30
