HourUTC,SpotPriceEUR,CO2
2017-01-01 00:00:00,20.9,129.54
2017-01-01 01:00:00,18.13,129.301
2017-01-01 02:00:00,16.03,137.929
2017-01-01 03:00:00,16.43,133.513
2017-01-01 04:00:00,13.75,126.551
2017-01-01 05:00:00,11.1,135.61
2017-01-01 06:00:00,15.47,176.293
2017-01-01 07:00:00,16.88,183.577
2017-01-01 08:00:00,21.81,153.45
2017-01-01 09:00:00,26.24,142.16
2017-01-01 10:00:00,27.48,140.91
2017-01-01 11:00:00,28.04,133.687
2017-01-01 12:00:00,28.7,132.027
2017-01-01 13:00:00,29.66,143.801
2017-01-01 14:00:00,30.38,189.193
2017-01-01 15:00:00,30.8,205.363
2017-01-01 16:00:00,30.93,197.125
2017-01-01 17:00:00,30.78,214.922
2017-01-01 18:00:00,30.51,218.548
2017-01-01 19:00:00,30.19,226.356
2017-01-01 20:00:00,29.94,228.033
2017-01-01 21:00:00,29.65,225.343
2017-01-01 22:00:00,29.36,225.269
2017-01-01 23:00:00,29.4,222.192
2017-01-02 00:00:00,28.91,192.967
2017-01-02 01:00:00,28.11,194.699
2017-01-02 02:00:00,27.89,224.739
2017-01-02 03:00:00,28.26,225.148
2017-01-02 04:00:00,30.43,189.668
2017-01-02 05:00:00,32.85,188.179
2017-01-02 06:00:00,33.91,198.325
2017-01-02 07:00:00,34.87,198.168
2017-01-02 08:00:00,35.22,215.59
2017-01-02 09:00:00,35.41,218.364
2017-01-02 10:00:00,35.07,215.28
2017-01-02 11:00:00,34.85,220.77
2017-01-02 12:00:00,34.7,215.581
2017-01-02 13:00:00,34.8,218.488
2017-01-02 14:00:00,35.93,224.713
2017-01-02 15:00:00,37.52,214.916
2017-01-02 16:00:00,42.2,210.503
2017-01-02 17:00:00,39.17,206.952
2017-01-02 18:00:00,35.52,211.927
2017-01-02 19:00:00,35.23,217.917
2017-01-02 20:00:00,34.74,231.347
2017-01-02 21:00:00,32.99,237.208
2017-01-02 22:00:00,30.94,220.372
2017-01-02 23:00:00,30.65,214.907
2017-01-03 00:00:00,30.37,208.218
2017-01-03 01:00:00,30.15,217.887
2017-01-03 02:00:00,30.14,213.006
2017-01-03 03:00:00,30.4,203.993
2017-01-03 04:00:00,32.24,192.581
2017-01-03 05:00:00,33.5,186.939
2017-01-03 06:00:00,35.8,171.172
2017-01-03 07:00:00,36.78,174.696
2017-01-03 08:00:00,36.17,184.203
2017-01-03 09:00:00,35.4,173.255
2017-01-03 10:00:00,34.92,172.336
2017-01-03 11:00:00,34.81,172.503
