timestep,air,seawater,excess heat,sewage,groundwater,drinking water,geothermal
[unit],[°C],[°C],[°C],[°C],[°C],[°C],[°C]
[source],[DMI],[Varmeplan hovedstaden],[Varmeplan hovedstaden],[Varmeplan hovedstaden],[Varmeplan hovedstaden],[Varmeplan hovedstaden],[Varmeplan hovedstaden]
T0001,2.6,3,25,11,8.9,8.5,56
T0002,1.7,3,25,11,9,9,56
T0003,1.4,3,25,11,9,9,56
T0004,2.1,3,25,11,9,9,56
T0005,2.2,3,25,11,9,9,56
T0006,2.8,3,25,11,9,9,56
T0007,4.2,3,25,11,9,9,56
T0008,5,3,25,11,9,9,56
T0009,4.9,3,25,11,9,9,56
T0010,5,3,25,11,9,9,56
T0011,5.1,3,25,11,9,9,56
T0012,5.3,3,25,11,9,9,56
T0013,5.5,3,25,11,9,9,56
T0014,5.5,3,25,11,9,9,56
T0015,5.4,3,25,11,9,9,56
T0016,5.2,3,25,11,9,9,56
T0017,5,3,25,11,9,9,56
T0018,4.7,3,25,11,9,9,56
T0019,4.3,3,25,11,9,9,56
T0020,3.9,3,25,11,9,9,56
T0021,3.3,3,25,11,9,9,56
T0022,2.7,3,25,11,9,9,56
T0023,1.6,3,25,11,9,9,56
T0024,1.5,3,25,11,9,9,56
T0025,1.5,3,25,11,9,9,56
T0026,1.4,3,25,11,9,9,56
T0027,1.4,3,25,11,9,9,56
T0028,1.3,3,25,11,9,9,56
T0029,1.4,3,25,11,9,9,56
T0030,1.3,3,25,11,9,9,56
T0031,1.4,3,25,11,9,9,56
T0032,1.7,3,25,11,9,9,56
T0033,1.9,3,25,11,9,9,56
T0034,2.4,3,25,11,9,9,56
T0035,2.4,3,25,11,9,9,56
T0036,2.2,3,25,11,9,9,56
T0037,2,3,25,11,9,9,56
T0038,2.2,3,25,11,9,9,56
T0039,2.2,3,25,11,9,9,56
T0040,2,3,25,11,9,9,56
T0041,1.9,3,25,11,9,9,56
T0042,2,3,25,11,9,9,56
T0043,2.1,3,25,11,9,9,56
T0044,2.5,3,25,11,9,9,56
T0045,2.5,3,25,11,9,9,56
T0046,2,3,25,11,9,9,56
T0047,1.6,3,25,11,9,9,56
T0048,2.1,3,25,11,9,9,56
T0049,3,3,25,11,9,9,56
T0050,3.6,3,25,11,9,9,56
T0051,4,3,25,11,9,9,56
T0052,4.4,3,25,11,9,9,56
T0053,4.7,3,25,11,9,9,56
T0054,5.1,3,25,11,9,9,56
T0055,5.2,3,25,11,9,9,56
T0056,4.9,3,25,11,9,9,56
T0057,5,3,25,11,9,9,56
T0058,5.1,3,25,11,9,9,56
T0059,5.6,3,25,11,9,9,56
T0060,6.1,3,25,11,9,9,56
T0061,6.4,3,25,11,9,9,56
T0062,6.7,3,25,11,9,9,56
T0063,6.5,3,25,11,9,9,56
T0064,6.5,3,25,11,9,9,56
T0065,6.1,3,25,11,9,9,56
T0066,5.6,3,25,11,9,9,56
T0067,5.1,3,25,11,9,9,56
T0068,4.5,3,25,11,9,9,56
T0069,4.9,3,25,11,9,9,56
T0070,4.6,3,25,11,9,9,56
T0071,4.2,3,25,11,9,9,56
T0072,3.9,3,25,11,9,9,56
T0073,4,3,25,11,9,9,56
T0074,4.3,3,25,11,9,9,56
T0075,4.6,3,25,11,9,9,56
T0076,5,3,25,11,9,9,56
T0077,5.4,3,25,11,9,9,56
T0078,4.8,3,25,11,9,9,56
T0079,5,3,25,11,9,9,56
T0080,5.2,3,25,11,9,9,56
T0081,3.4,3,25,11,9,8,56
T0082,2.3,3,25,11,9,8,56
T0083,1.4,3,25,11,9,8,56
T0084,3.3,3,25,11,9,8,56
T0085,4.6,3,25,11,9,8,56
T0086,4.9,3,25,11,9,8,56
T0087,5.1,3,25,11,9,8,56
T0088,5.3,3,25,11,9,8,56
T0089,4.9,3,25,11,9,8,56
T0090,4.8,3,25,11,9,8,56
T0091,4.5,3,25,11,9,8,56
T0092,4.3,3,25,11,9,8,56
T0093,4.1,3,25,11,9,8,56
T0094,3.7,3,25,11,9,8,56
T0095,3.1,3,25,11,9,8,56
T0096,2.1,3,25,11,9,8,56
T0097,0,3,25,11,9,8,56
T0098,-0.1,3,25,11,9,8,56
T0099,0.2,3,25,11,9,8,56
T0100,0.3,3,25,11,9,8,56
T0101,0.5,3,25,11,9,8,56
T0102,-0.8,3,25,11,9,8,56
T0103,-1,3,25,11,9,8,56
T0104,-0.6,3,25,11,9,8,56
T0105,0.6,3,25,11,9,8,56
