timestep,HP - air,HP - seawater,HP - heat recovery,electric chiller
T0001,3.141,3.046,3.371,4.807
T0002,3.131,3.046,3.371,4.822
T0003,3.209,3.046,3.371,4.7
T0004,3.235,3.046,3.371,4.662
T0005,3.224,3.046,3.371,4.677
T0006,3.23,3.046,3.371,4.669
T0007,3.24,3.046,3.371,4.654
T0008,3.245,3.046,3.371,4.647
T0009,3.24,3.046,3.371,4.654
T0010,3.235,3.046,3.371,4.662
T0011,3.235,3.046,3.371,4.662
T0012,3.255,3.046,3.371,4.631
T0013,3.24,3.046,3.371,4.654
T0014,3.23,3.046,3.371,4.669
T0015,3.214,3.046,3.371,4.692
T0016,3.189,3.046,3.371,4.73
T0017,3.16,3.046,3.371,4.776
T0018,3.112,3.046,3.371,4.852
T0019,3.098,3.046,3.371,4.875
T0020,3.117,3.046,3.371,4.845
T0021,3.136,3.046,3.371,4.814
T0022,3.141,3.046,3.371,4.807
T0023,3.122,3.046,3.371,4.837
T0024,3.103,3.046,3.371,4.868
T0025,3.075,3.046,3.371,4.913
T0026,3.089,3.046,3.371,4.89
T0027,3.089,3.046,3.371,4.89
T0028,3.084,3.046,3.371,4.898
T0029,3.084,3.046,3.371,4.898
T0030,3.089,3.046,3.371,4.89
T0031,3.089,3.046,3.371,4.89
T0032,3.093,3.046,3.371,4.883
T0033,3.084,3.046,3.371,4.898
T0034,3.098,3.046,3.371,4.875
T0035,3.117,3.046,3.371,4.845
T0036,3.18,3.046,3.371,4.746
T0037,3.194,3.046,3.371,4.723
T0038,3.204,3.046,3.371,4.707
T0039,3.204,3.046,3.371,4.707
T0040,3.15,3.046,3.371,4.791
T0041,3.079,3.046,3.371,4.906
T0042,3.066,3.046,3.371,4.928
T0043,3.047,3.046,3.371,4.959
T0044,3.043,3.046,3.371,4.967
T0045,3.066,3.046,3.371,4.928
T0046,3.07,3.046,3.371,4.921
T0047,3.066,3.046,3.371,4.928
T0048,3.052,3.046,3.371,4.951
T0049,3.021,3.046,3.371,5.005
T0050,2.998,3.046,3.371,5.043
T0051,2.985,3.046,3.371,5.066
T0052,2.99,3.046,3.371,5.058
T0053,2.994,3.046,3.371,5.05
T0054,3.003,3.046,3.371,5.035
T0055,3.012,3.046,3.371,5.02
T0056,3.012,3.046,3.371,5.02
T0057,3.021,3.046,3.371,5.005
T0058,3.007,3.046,3.371,5.028
T0059,3.034,3.046,3.371,4.982
T0060,3.052,3.046,3.371,4.951
T0061,3.07,3.046,3.371,4.921
T0062,3.079,3.046,3.371,4.906
T0063,3.056,3.046,3.371,4.944
T0064,2.998,3.046,3.371,5.043
T0065,2.926,3.046,3.371,5.172
T0066,2.885,3.046,3.371,5.248
T0067,2.877,3.046,3.371,5.264
T0068,2.857,3.046,3.371,5.302
T0069,2.849,3.046,3.371,5.317
T0070,2.865,3.046,3.371,5.287
T0071,2.877,3.046,3.371,5.264
T0072,2.926,3.046,3.371,5.172
T0073,2.972,3.046,3.371,5.088
T0074,2.985,3.046,3.371,5.066
T0075,2.977,3.046,3.371,5.081
T0076,2.981,3.046,3.371,5.073
T0077,2.99,3.046,3.371,5.058
T0078,2.994,3.046,3.371,5.05
T0079,2.998,3.046,3.371,5.043
T0080,2.998,3.046,3.371,5.043
T0081,2.994,3.046,3.371,5.05
T0082,2.998,3.046,3.371,5.043
T0083,3.016,3.046,3.371,5.012
T0084,3.029,3.046,3.371,4.989
T0085,3.089,3.046,3.371,4.89
T0086,3.141,3.046,3.371,4.807
T0087,3.15,3.046,3.371,4.791
T0088,3.165,3.046,3.371,4.768
T0089,3.16,3.046,3.371,4.776
T0090,3.165,3.046,3.371,4.768
T0091,3.165,3.046,3.371,4.768
T0092,3.16,3.046,3.371,4.776
T0093,3.145,3.046,3.371,4.799
T0094,3.15,3.046,3.371,4.791
T0095,3.15,3.046,3.371,4.791
T0096,3.15,3.046,3.371,4.791
T0097,3.136,3.046,3.371,4.814
T0098,3.122,3.046,3.371,4.837
T0099,3.107,3.046,3.371,4.86
T0100,3.093,3.046,3.371,4.883
T0101,3.084,3.046,3.371,4.898
T0102,3.021,3.046,3.371,5.005
T0103,2.972,3.046,3.371,5.088
T0104,2.938,3.046,3.371,5.149
T0105,2.93,3.046,3.371,5.165
T0106,2.938,3.046,3.371,5.149
T0107,2.951,3.046,3.371,5.127
T0108,2.96,3.046,3.371,5.111
T0109,2.943,3.046,3.371,5.142
T0110,2.934,3.046,3.371,5.157
T0111,2.947,3.046,3.371,5.134
T0112,2.938,3.046,3.371,5.149
T0113,2.926,3.046,3.371,5.172
T0114,2.913,3.046,3.371,5.195
T0115,2.918,3.046,3.371,5.188
T0116,2.898,3.03,3.34,5.195
T0117,2.894,3.03,3.34,5.203
T0118,2.889,3.03,3.34,5.21
T0119,2.889,3.03,3.34,5.21
T0120,2.877,3.03,3.34,5.233
T0121,2.865,3.03,3.34,5.256
T0122,2.865,3.03,3.34,5.256
T0123,2.873,3.03,3.34,5.241
T0124,2.877,3.03,3.34,5.233
T0125,2.889,3.03,3.34,5.21
T0126,2.906,3.03,3.34,5.18
T0127,2.91,3.03,3.34,5.172
T0128,2.91,3.03,3.34,5.172
T0129,2.898,3.03,3.34,5.195
T0130,2.894,3.03,3.34,5.203
T0131,2.889,3.03,3.34,5.21
T0132,2.906,3.03,3.34,5.18
T0133,2.926,3.03,3.34,5.142
T0134,2.96,3.03,3.34,5.081
T0135,3.039,3.03,3.34,4.944
T0136,3.052,3.03,3.34,4.921
T0137,3.039,3.03,3.34,4.944
T0138,3.025,3.03,3.34,4.967
T0139,2.986,3.03,3.34,5.035
T0140,2.969,3.03,3.34,5.066
T0141,3.003,3.03,3.34,5.005
T0142,3.017,3.03,3.34,4.982
T0143,3.003,3.03,3.34,5.005
T0144,3.021,3.03,3.34,4.974
T0145,3.03,3.03,3.34,4.959
T0146,3.021,3.03,3.34,4.974
T0147,2.982,3.03,3.34,5.043
T0148,2.952,3.03,3.34,5.096
T0149,2.986,3.03,3.34,5.035
T0150,2.99,3.03,3.34,5.028
T0151,2.982,3.03,3.34,5.043
T0152,2.964,3.03,3.34,5.073
T0153,2.964,3.03,3.34,5.073
T0154,2.986,3.03,3.34,5.035
T0155,2.999,3.03,3.34,5.012
T0156,3.008,3.03,3.34,4.997
T0157,3.012,3.03,3.34,4.989
T0158,3.017,3.03,3.34,4.982
T0159,3.025,3.03,3.34,4.967
T0160,3.034,3.03,3.34,4.951
T0161,3.043,3.03,3.34,4.936
T0162,3.057,3.03,3.34,4.913
T0163,3.061,3.03,3.34,4.906
T0164,3.071,3.03,3.34,4.89
T0165,3.052,3.03,3.34,4.921
T0166,3.052,3.03,3.34,4.921
T0167,3.061,3.03,3.34,4.906
T0168,3.071,3.03,3.34,4.89
T0169,3.066,3.03,3.34,4.898
T0170,3.057,3.03,3.34,4.913
T0171,3.057,3.03,3.34,4.913
T0172,3.048,3.03,3.34,4.928
T0173,3.043,3.03,3.34,4.936
T0174,3.043,3.03,3.34,4.936
T0175,3.03,3.03,3.34,4.959
T0176,3.025,3.03,3.34,4.967
T0177,3.025,3.03,3.34,4.967
T0178,3.03,3.03,3.34,4.959
T0179,3.03,3.03,3.34,4.959
T0180,3.025,3.03,3.34,4.967
T0181,3.021,3.03,3.34,4.974
T0182,3.025,3.03,3.34,4.967
T0183,3.025,3.03,3.34,4.967
T0184,3.025,3.03,3.34,4.967
T0185,3.03,3.03,3.34,4.959
T0186,3.03,3.03,3.34,4.959
T0187,3.034,3.03,3.34,4.951
T0188,3.039,3.03,3.34,4.944
T0189,3.039,3.03,3.34,4.944
T0190,3.034,3.03,3.34,4.951
T0191,3.03,3.03,3.34,4.959
T0192,3.025,3.03,3.34,4.967
T0193,3.03,3.03,3.34,4.959
T0194,3.03,3.03,3.34,4.959
T0195,3.017,3.03,3.34,4.982
T0196,3.008,3.03,3.34,4.997
T0197,3.008,3.03,3.34,4.997
T0198,3.012,3.03,3.34,4.989
T0199,3.008,3.03,3.34,4.997
