timestep,HP - air,HP - seawater,HP - heat recovery,electric chiller
T0001,2.889,3.046,2.371,5.241
T0002,2.853,3.046,2.371,5.309
T0003,2.841,3.046,2.371,5.332
T0004,2.869,3.046,2.371,5.279
T0005,2.873,3.046,2.371,5.271
T0006,2.897,3.046,2.371,5.226
T0007,2.955,3.046,2.371,5.119
T0008,2.99,3.046,2.371,5.058
T0009,2.985,3.046,2.371,5.066
T0010,2.99,3.046,2.371,5.058
T0011,2.994,3.046,2.371,5.05
T0012,3.003,3.046,2.371,5.035
T0013,3.012,3.046,2.371,5.02
T0014,3.012,3.046,2.371,5.02
T0015,3.007,3.046,2.371,5.028
T0016,2.998,3.046,2.371,5.043
T0017,2.99,3.046,2.371,5.058
T0018,2.977,3.046,2.371,5.081
T0019,2.96,3.046,2.371,5.111
T0020,2.943,3.046,2.371,5.142
T0021,2.918,3.046,2.371,5.188
T0022,2.893,3.046,2.371,5.233
T0023,2.849,3.046,2.371,5.317
T0024,2.845,3.046,2.371,5.325
T0025,2.845,3.046,2.371,5.325
T0026,2.841,3.046,2.371,5.332
T0027,2.841,3.046,2.371,5.332
T0028,2.837,3.046,2.371,5.34
T0029,2.841,3.046,2.371,5.332
T0030,2.837,3.046,2.371,5.34
T0031,2.841,3.046,2.371,5.332
T0032,2.853,3.046,2.371,5.309
T0033,2.861,3.046,2.371,5.294
T0034,2.881,3.046,2.371,5.256
T0035,2.881,3.046,2.371,5.256
T0036,2.873,3.046,2.371,5.271
T0037,2.865,3.046,2.371,5.287
T0038,2.873,3.046,2.371,5.271
T0039,2.873,3.046,2.371,5.271
T0040,2.865,3.046,2.371,5.287
T0041,2.861,3.046,2.371,5.294
T0042,2.865,3.046,2.371,5.287
T0043,2.869,3.046,2.371,5.279
T0044,2.885,3.046,2.371,5.248
T0045,2.885,3.046,2.371,5.248
T0046,2.865,3.046,2.371,5.287
T0047,2.849,3.046,2.371,5.317
T0048,2.869,3.046,2.371,5.279
T0049,2.905,3.046,2.371,5.21
T0050,2.93,3.046,2.371,5.165
T0051,2.947,3.046,2.371,5.134
T0052,2.964,3.046,2.371,5.104
T0053,2.977,3.046,2.371,5.081
T0054,2.994,3.046,2.371,5.05
T0055,2.998,3.046,2.371,5.043
T0056,2.985,3.046,2.371,5.066
T0057,2.99,3.046,2.371,5.058
T0058,2.994,3.046,2.371,5.05
T0059,3.016,3.046,2.371,5.012
T0060,3.038,3.046,2.371,4.974
