,'type','ETS','capacity','Cb','Cv','ramping rate','variable cost - heat','variable cost - electricity','variable cost - cold','fixed cost','capital cost','aux'
AMV1,BP,TRUE,362.0,0.278,-,0.25,-,1.98,-,-,-,1
AMV4,BP,TRUE,500.0,0.361,-,0.25,-,4.89,-,-,-,1
ARC,BP,TRUE,224.0,0.269,-,0.25,-,29.01,-,-,-,1
ARGO5,BP,TRUE,65.1,0.27,-,0.25,-,26.88,-,-,-,1
ARGO6,BP,TRUE,73.0,0.286,-,0.25,-,26.88,-,-,-,1
AVV1,EX,TRUE,624.0,0.613,0.116,0.25,-,1.17,-,-,-,1
AVV2,EX,TRUE,1168.0,0.794,0.146,0.25,-,1.17,-,-,-,1
HCV7,BP,TRUE,200.0,0.413,-,0.25,-,3.28,-,-,-,1
HCV8,BP,TRUE,121.0,0.29,-,1,-,4.79,-,-,-,1
KKV8,BP,TRUE,56.2,0.385,-,0.25,-,4.77,-,-,-,1
VF5,BP,TRUE,84.7,0.138,-,0.25,-,26.88,-,-,-,1
VF6,BP,TRUE,111.8,0.222,-,0.25,-,26.88,-,-,-,1
HOB_BG-S,HO,FALSE,13.3,-,-,1,1.17,-,-,-,-,1
HOB_EL,HO,FALSE,120.2,-,-,1,0.957,-,-,-,-,1
HOB_GO-L,HO,TRUE,795.3,-,-,1,1.17,-,-,-,-,1
HOB_GO-S,HO,FALSE,54.2,-,-,1,1.17,-,-,-,-,1
HOB_NG-L,HO,TRUE,1131.1,-,-,1,1.17,-,-,-,-,1
HOB_NG-S,HO,FALSE,69.0,-,-,1,1.17,-,-,-,-,1
HOB_WP-S,HO,FALSE,11.0,-,-,1,2.084,-,-,-,-,1
HP_AMBIENT,HO,FALSE,8.0,-,-,1,2.33,-,-,-,-,1
HP_PROCESS,HO,FALSE,9.1,-,-,1,2.33,-,-,-,-,1
INDUSTRY,HO,FALSE,1.1,-,-,1,0.001,-,-,-,-,1
ELECTRIC_CHILLER,CO,FALSE,-,-,-,1,-,-,2.264,-,-,1
FREE_COOLING,CO,FALSE,-,-,-,1,-,-,0.001,-,-,1
HP_RECOVERY,HR,FALSE,-,-,-,1,2.329,-,-,2127,914500,1
