,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
H01,2.3,2.37,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.54,2.54,2.54
H02,2.3,2.37,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.54,2.54,2.54
H03,2.3,2.37,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.54,2.54,2.54
H04,2.3,2.37,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.54,2.54,2.54
H05,2.3,2.37,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.54,2.54,2.54
H06,2.3,2.37,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.54,2.54,2.54
H07,4.6,4.73,4.37,4.37,4.37,4.37,4.37,4.37,4.37,5.05,5.05,5.05
H08,4.6,4.73,4.37,4.37,4.37,4.37,4.37,4.37,4.37,5.05,5.05,5.05
H09,4.6,4.73,4.37,4.37,4.37,4.37,4.37,4.37,4.37,5.05,5.05,5.05
H10,4.6,4.73,4.37,4.37,4.37,4.37,4.37,4.37,4.37,5.05,5.05,5.05
H11,4.6,4.73,4.37,4.37,4.37,4.37,4.37,4.37,4.37,5.05,5.05,5.05
H12,4.6,4.73,4.37,4.37,4.37,4.37,4.37,4.37,4.37,5.05,5.05,5.05
H13,4.6,4.73,4.37,4.37,4.37,4.37,4.37,4.37,4.37,5.05,5.05,5.05
H14,4.6,4.73,4.37,4.37,4.37,4.37,4.37,4.37,4.37,5.05,5.05,5.05
H15,4.6,4.73,4.37,4.37,4.37,4.37,4.37,4.37,4.37,5.05,5.05,5.05
H16,4.6,4.73,4.37,4.37,4.37,4.37,4.37,4.37,4.37,5.05,5.05,5.05
H17,4.6,4.73,4.37,4.37,4.37,4.37,4.37,4.37,4.37,5.05,5.05,5.05
H18,4.6,4.73,4.37,4.37,4.37,4.37,4.37,4.37,4.37,5.05,5.05,5.05
H19,9.21,9.45,8.74,4.37,4.37,4.37,4.37,4.37,4.37,10.11,10.11,10.11
H20,9.21,9.45,8.74,4.37,4.37,4.37,4.37,4.37,4.37,10.11,10.11,10.11
H21,9.21,9.45,8.74,4.37,4.37,4.37,4.37,4.37,4.37,10.11,10.11,10.11
H22,4.6,4.73,4.37,4.37,4.37,4.37,4.37,4.37,4.37,5.05,5.05,5.05
H23,4.6,4.73,4.37,4.37,4.37,4.37,4.37,4.37,4.37,5.05,5.05,5.05
H24,4.6,4.73,4.37,4.37,4.37,4.37,4.37,4.37,4.37,5.05,5.05,5.05
