,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
H01,15.8,15.8,15.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,15.8,15.8
H02,15.8,15.8,15.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,15.8,15.8
H03,15.8,15.8,15.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,15.8,15.8
H04,15.8,15.8,15.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,15.8,15.8
H05,15.8,15.8,15.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,15.8,15.8
H06,15.8,15.8,15.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,15.8,15.8
H07,15.8,15.8,15.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,15.8,15.8
H08,19.9,19.9,19.9,7.4,7.4,7.4,7.4,7.4,7.4,7.4,19.9,19.9
H09,19.9,19.9,19.9,7.4,7.4,7.4,7.4,7.4,7.4,7.4,19.9,19.9
H10,33.3,33.3,19.9,7.4,7.4,7.4,7.4,7.4,7.4,7.4,19.9,33.3
H11,33.3,33.3,19.9,7.4,7.4,7.4,7.4,7.4,7.4,7.4,19.9,33.3
H12,19.9,19.9,19.9,7.4,7.4,7.4,7.4,7.4,7.4,7.4,19.9,19.9
H13,19.9,19.9,19.9,7.4,7.4,7.4,7.4,7.4,7.4,7.4,19.9,19.9
H14,19.9,19.9,19.9,7.4,7.4,7.4,7.4,7.4,7.4,7.4,19.9,19.9
H15,19.9,19.9,19.9,7.4,7.4,7.4,7.4,7.4,7.4,7.4,19.9,19.9
H16,19.9,19.9,19.9,7.4,7.4,7.4,7.4,7.4,7.4,7.4,19.9,19.9
H17,19.9,19.9,19.9,7.4,7.4,7.4,7.4,7.4,7.4,7.4,19.9,19.9
H18,19.9,19.9,19.9,7.4,7.4,7.4,7.4,7.4,7.4,7.4,19.9,19.9
H19,33.3,33.3,19.9,7.4,7.4,7.4,7.4,7.4,7.4,7.4,19.9,33.3
H20,33.3,33.3,19.9,7.4,7.4,7.4,7.4,7.4,7.4,7.4,19.9,33.3
H21,19.9,19.9,19.9,7.4,7.4,7.4,7.4,7.4,7.4,7.4,19.9,19.9
H22,19.9,19.9,19.9,7.4,7.4,7.4,7.4,7.4,7.4,7.4,19.9,19.9
H23,19.9,19.9,19.9,7.4,7.4,7.4,7.4,7.4,7.4,7.4,19.9,19.9
H24,15.8,15.8,15.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,15.8,15.8
