,'fuel input','heat output','electricity output','cold output','emissions','ets quota'
AMV1,,0.00,,,0.08520,0.07343
AMV4,,0.00,,,0.08520,0.07343
ARC,,3.16,,,0.19934,0.07343
ARGO5,,3.16,,,0.19934,0.07343
ARGO6,,3.16,,,0.19934,0.07343
AVV1,,0.00,,,0.08520,0.07343
AVV2,,0.00,,,0.08520,0.07343
HCV7,,32.76,,,0.08520,0.07343
HCV8,,32.76,,,0.08520,0.07343
KKV8,,0.00,,,0.08520,0.07343
VF5,,3.16,,,0.19934,0.07343
VF6,,3.16,,,0.19934,0.07343
HOB_BG-S,1.24,,,,,
HOB_EL,0.54,,,,,
HOB_GO-L,43.77,,,,0.08520,0.07343
HOB_GO-S,46.79,,,,,
HOB_NG-L,39.31,,,,0.08520,0.07343
HOB_NG-S,41.75,,,,,
HOB_WP-S,0.00,,,,,
HP_AMBIENT,0.54,,,,,
HP_PROCESS,0.54,,,,,
INDUSTRY,0.00,,,,,
ELECTRIC_CHILLER,0.54,,,,,
FREE_COOLING,0.54,,,,,
HP_RECOVERY,0.54,,,,,
