timestep,HOB_EL,HP_AMBIENT,HP_PROCESS,ELECTRIC_CHILLER,FREE_COOLING,HP_RECOVERY
T0001,47.6,33.1,33.1,33.1,33.1,33.1
T0002,47.6,33.1,33.1,33.1,33.1,33.1
T0003,47.6,33.1,33.1,33.1,33.1,33.1
T0004,47.6,33.1,33.1,33.1,33.1,33.1
T0005,47.6,33.1,33.1,33.1,33.1,33.1
T0006,47.6,33.1,33.1,33.1,33.1,33.1
T0007,47.6,33.1,33.1,33.1,33.1,33.1
T0008,47.6,33.1,33.1,33.1,33.1,33.1
T0009,47.6,33.1,33.1,33.1,33.1,33.1
T0010,47.6,33.1,33.1,33.1,33.1,33.1
T0011,47.6,33.1,33.1,33.1,33.1,33.1
T0012,47.6,33.1,33.1,33.1,33.1,33.1
T0013,47.6,33.1,33.1,33.1,33.1,33.1
T0014,47.6,33.1,33.1,33.1,33.1,33.1
T0015,47.6,33.1,33.1,33.1,33.1,33.1
T0016,47.6,33.1,33.1,33.1,33.1,33.1
T0017,47.6,33.1,33.1,33.1,33.1,33.1
T0018,47.6,33.1,33.1,33.1,33.1,33.1
T0019,47.6,33.1,33.1,33.1,33.1,33.1
T0020,47.6,33.1,33.1,33.1,33.1,33.1
T0021,47.6,33.1,33.1,33.1,33.1,33.1
T0022,47.6,33.1,33.1,33.1,33.1,33.1
T0023,47.6,33.1,33.1,33.1,33.1,33.1
T0024,47.6,33.1,33.1,33.1,33.1,33.1
T0025,47.6,33.1,33.1,33.1,33.1,33.1
T0026,47.6,33.1,33.1,33.1,33.1,33.1
T0027,47.6,33.1,33.1,33.1,33.1,33.1
T0028,47.6,33.1,33.1,33.1,33.1,33.1
T0029,47.6,33.1,33.1,33.1,33.1,33.1
T0030,47.6,33.1,33.1,33.1,33.1,33.1
T0031,47.6,33.1,33.1,33.1,33.1,33.1
T0032,47.6,33.1,33.1,33.1,33.1,33.1
T0033,47.6,33.1,33.1,33.1,33.1,33.1
T0034,47.6,33.1,33.1,33.1,33.1,33.1
T0035,47.6,33.1,33.1,33.1,33.1,33.1
T0036,47.6,33.1,33.1,33.1,33.1,33.1
T0037,47.6,33.1,33.1,33.1,33.1,33.1
T0038,47.6,33.1,33.1,33.1,33.1,33.1
T0039,47.6,33.1,33.1,33.1,33.1,33.1
T0040,47.6,33.1,33.1,33.1,33.1,33.1
T0041,47.6,33.1,33.1,33.1,33.1,33.1
T0042,47.6,33.1,33.1,33.1,33.1,33.1
T0043,47.6,33.1,33.1,33.1,33.1,33.1
T0044,47.6,33.1,33.1,33.1,33.1,33.1
T0045,47.6,33.1,33.1,33.1,33.1,33.1
T0046,47.6,33.1,33.1,33.1,33.1,33.1
T0047,47.6,33.1,33.1,33.1,33.1,33.1
T0048,47.6,33.1,33.1,33.1,33.1,33.1
T0049,47.6,33.1,33.1,33.1,33.1,33.1
T0050,47.6,33.1,33.1,33.1,33.1,33.1
T0051,47.6,33.1,33.1,33.1,33.1,33.1
T0052,47.6,33.1,33.1,33.1,33.1,33.1
T0053,47.6,33.1,33.1,33.1,33.1,33.1
