timestep,HOB_EL,HP_AMBIENT,HP_PROCESS,ELECTRIC_CHILLER,FREE_COOLING,HP_RECOVERY
T0001,19.24,19.9,19.9,19.9,19.9,19.9
T0002,19.24,19.9,19.9,19.9,19.9,19.9
T0003,19.24,19.9,19.9,19.9,19.9,19.9
T0004,19.24,19.9,19.9,19.9,19.9,19.9
T0005,19.24,19.9,19.9,19.9,19.9,19.9
T0006,19.24,19.9,19.9,19.9,19.9,19.9
T0007,22.7,28.93,28.93,28.93,28.93,28.93
T0008,22.7,28.93,28.93,28.93,28.93,28.93
T0009,22.7,28.93,28.93,28.93,28.93,28.93
T0010,22.7,28.93,28.93,28.93,28.93,28.93
T0011,22.7,28.93,28.93,28.93,28.93,28.93
T0012,22.7,28.93,28.93,28.93,28.93,28.93
T0013,22.7,28.93,28.93,28.93,28.93,28.93
T0014,22.7,28.93,28.93,28.93,28.93,28.93
T0015,22.7,28.93,28.93,28.93,28.93,28.93
T0016,22.7,28.93,28.93,28.93,28.93,28.93
T0017,22.7,28.93,28.93,28.93,28.93,28.93
T0018,22.7,28.93,28.93,28.93,28.93,28.93
T0019,22.7,28.93,28.93,28.93,28.93,28.93
T0020,22.7,28.93,28.93,28.93,28.93,28.93
T0021,22.7,28.93,28.93,28.93,28.93,28.93
T0022,20.39,23.5,23.5,23.5,23.5,23.5
T0023,20.39,23.5,23.5,23.5,23.5,23.5
T0024,20.39,23.5,23.5,23.5,23.5,23.5
T0025,19.24,19.9,19.9,19.9,19.9,19.9
T0026,19.24,19.9,19.9,19.9,19.9,19.9
T0027,19.24,19.9,19.9,19.9,19.9,19.9
T0028,19.24,19.9,19.9,19.9,19.9,19.9
T0029,19.24,19.9,19.9,19.9,19.9,19.9
T0030,19.24,19.9,19.9,19.9,19.9,19.9
T0031,22.7,28.93,28.93,28.93,28.93,28.93
T0032,22.7,28.93,28.93,28.93,28.93,28.93
T0033,22.7,28.93,28.93,28.93,28.93,28.93
T0034,22.7,28.93,28.93,28.93,28.93,28.93
T0035,22.7,28.93,28.93,28.93,28.93,28.93
T0036,22.7,28.93,28.93,28.93,28.93,28.93
T0037,22.7,28.93,28.93,28.93,28.93,28.93
T0038,22.7,28.93,28.93,28.93,28.93,28.93
T0039,22.7,28.93,28.93,28.93,28.93,28.93
T0040,22.7,28.93,28.93,28.93,28.93,28.93
T0041,22.7,28.93,28.93,28.93,28.93,28.93
T0042,22.7,28.93,28.93,28.93,28.93,28.93
T0043,22.7,28.93,28.93,28.93,28.93,28.93
T0044,22.7,28.93,28.93,28.93,28.93,28.93
T0045,22.7,28.93,28.93,28.93,28.93,28.93
T0046,20.39,23.5,23.5,23.5,23.5,23.5
T0047,20.39,23.5,23.5,23.5,23.5,23.5
T0048,20.39,23.5,23.5,23.5,23.5,23.5
T0049,19.24,19.9,19.9,19.9,19.9,19.9
T0050,19.24,19.9,19.9,19.9,19.9,19.9
T0051,19.24,19.9,19.9,19.9,19.9,19.9
T0052,19.24,19.9,19.9,19.9,19.9,19.9
T0053,19.24,19.9,19.9,19.9,19.9,19.9
T0054,19.24,19.9,19.9,19.9,19.9,19.9
T0055,22.7,28.93,28.93,28.93,28.93,28.93
T0056,22.7,28.93,28.93,28.93,28.93,28.93
T0057,22.7,28.93,28.93,28.93,28.93,28.93
T0058,22.7,28.93,28.93,28.93,28.93,28.93
T0059,22.7,28.93,28.93,28.93,28.93,28.93
T0060,22.7,28.93,28.93,28.93,28.93,28.93
T0061,22.7,28.93,28.93,28.93,28.93,28.93
T0062,22.7,28.93,28.93,28.93,28.93,28.93
T0063,22.7,28.93,28.93,28.93,28.93,28.93
T0064,22.7,28.93,28.93,28.93,28.93,28.93
T0065,22.7,28.93,28.93,28.93,28.93,28.93
T0066,22.7,28.93,28.93,28.93,28.93,28.93
T0067,22.7,28.93,28.93,28.93,28.93,28.93
T0068,22.7,28.93,28.93,28.93,28.93,28.93
T0069,22.7,28.93,28.93,28.93,28.93,28.93
T0070,20.39,23.5,23.5,23.5,23.5,23.5
T0071,20.39,23.5,23.5,23.5,23.5,23.5
T0072,20.39,23.5,23.5,23.5,23.5,23.5
T0073,19.24,19.9,19.9,19.9,19.9,19.9
T0074,19.24,19.9,19.9,19.9,19.9,19.9
T0075,19.24,19.9,19.9,19.9,19.9,19.9
T0076,19.24,19.9,19.9,19.9,19.9,19.9
T0077,19.24,19.9,19.9,19.9,19.9,19.9
T0078,19.24,19.9,19.9,19.9,19.9,19.9
T0079,22.7,28.93,28.93,28.93,28.93,28.93
T0080,22.7,28.93,28.93,28.93,28.93,28.93
T0081,22.7,28.93,28.93,28.93,28.93,28.93
T0082,22.7,28.93,28.93,28.93,28.93,28.93
T0083,22.7,28.93,28.93,28.93,28.93,28.93
T0084,22.7,28.93,28.93,28.93,28.93,28.93
T0085,22.7,28.93,28.93,28.93,28.93,28.93
T0086,22.7,28.93,28.93,28.93,28.93,28.93
T0087,22.7,28.93,28.93,28.93,28.93,28.93
T0088,22.7,28.93,28.93,28.93,28.93,28.93
T0089,22.7,28.93,28.93,28.93,28.93,28.93
T0090,22.7,28.93,28.93,28.93,28.93,28.93
T0091,22.7,28.93,28.93,28.93,28.93,28.93
T0092,22.7,28.93,28.93,28.93,28.93,28.93
T0093,22.7,28.93,28.93,28.93,28.93,28.93
T0094,20.39,23.5,23.5,23.5,23.5,23.5
T0095,20.39,23.5,23.5,23.5,23.5,23.5
T0096,20.39,23.5,23.5,23.5,23.5,23.5
T0097,19.24,19.9,19.9,19.9,19.9,19.9
T0098,19.24,19.9,19.9,19.9,19.9,19.9
T0099,19.24,19.9,19.9,19.9,19.9,19.9
T0100,19.24,19.9,19.9,19.9,19.9,19.9
T0101,19.24,19.9,19.9,19.9,19.9,19.9
T0102,19.24,19.9,19.9,19.9,19.9,19.9
T0103,22.7,28.93,28.93,28.93,28.93,28.93
T0104,22.7,28.93,28.93,28.93,28.93,28.93
T0105,22.7,28.93,28.93,28.93,28.93,28.93
T0106,22.7,28.93,28.93,28.93,28.93,28.93
T0107,22.7,28.93,28.93,28.93,28.93,28.93
T0108,22.7,28.93,28.93,28.93,28.93,28.93
T0109,22.7,28.93,28.93,28.93,28.93,28.93
T0110,22.7,28.93,28.93,28.93,28.93,28.93
T0111,22.7,28.93,28.93,28.93,28.93,28.93
T0112,22.7,28.93,28.93,28.93,28.93,28.93
T0113,22.7,28.93,28.93,28.93,28.93,28.93
T0114,22.7,28.93,28.93,28.93,28.93,28.93
T0115,22.7,28.93,28.93,28.93,28.93,28.93
T0116,22.7,28.93,28.93,28.93,28.93,28.93
T0117,22.7,28.93,28.93,28.93,28.93,28.93
T0118,20.39,23.5,23.5,23.5,23.5,23.5
T0119,20.39,23.5,23.5,23.5,23.5,23.5
T0120,20.39,23.5,23.5,23.5,23.5,23.5
T0121,19.24,19.9,19.9,19.9,19.9,19.9
T0122,19.24,19.9,19.9,19.9,19.9,19.9
T0123,19.24,19.9,19.9,19.9,19.9,19.9
T0124,19.24,19.9,19.9,19.9,19.9,19.9
T0125,19.24,19.9,19.9,19.9,19.9,19.9
T0126,19.24,19.9,19.9,19.9,19.9,19.9
T0127,22.7,28.93,28.93,28.93,28.93,28.93
T0128,22.7,28.93,28.93,28.93,28.93,28.93
T0129,22.7,28.93,28.93,28.93,28.93,28.93
T0130,22.7,28.93,28.93,28.93,28.93,28.93
T0131,22.7,28.93,28.93,28.93,28.93,28.93
T0132,22.7,28.93,28.93,28.93,28.93,28.93
T0133,22.7,28.93,28.93,28.93,28.93,28.93
T0134,22.7,28.93,28.93,28.93,28.93,28.93
T0135,22.7,28.93,28.93,28.93,28.93,28.93
T0136,22.7,28.93,28.93,28.93,28.93,28.93
T0137,22.7,28.93,28.93,28.93,28.93,28.93
T0138,22.7,28.93,28.93,28.93,28.93,28.93
T0139,22.7,28.93,28.93,28.93,28.93,28.93
T0140,22.7,28.93,28.93,28.93,28.93,28.93
T0141,22.7,28.93,28.93,28.93,28.93,28.93
T0142,20.39,23.5,23.5,23.5,23.5,23.5
T0143,20.39,23.5,23.5,23.5,23.5,23.5
T0144,20.39,23.5,23.5,23.5,23.5,23.5
T0145,19.24,19.9,19.9,19.9,19.9,19.9
T0146,19.24,19.9,19.9,19.9,19.9,19.9
T0147,19.24,19.9,19.9,19.9,19.9,19.9
T0148,19.24,19.9,19.9,19.9,19.9,19.9
T0149,19.24,19.9,19.9,19.9,19.9,19.9
T0150,19.24,19.9,19.9,19.9,19.9,19.9
T0151,22.7,28.93,28.93,28.93,28.93,28.93
T0152,22.7,28.93,28.93,28.93,28.93,28.93
T0153,22.7,28.93,28.93,28.93,28.93,28.93
T0154,22.7,28.93,28.93,28.93,28.93,28.93
T0155,22.7,28.93,28.93,28.93,28.93,28.93
T0156,22.7,28.93,28.93,28.93,28.93,28.93
T0157,22.7,28.93,28.93,28.93,28.93,28.93
T0158,22.7,28.93,28.93,28.93,28.93,28.93
T0159,22.7,28.93,28.93,28.93,28.93,28.93
