timestep,HOB_EL,HP_AMBIENT,HP_PROCESS,ELECTRIC_CHILLER,FREE_COOLING,HP_RECOVERY
T0001,14.5,14.7,14.7,14.7,14.7,14.7
T0002,14.5,14.7,14.7,14.7,14.7,14.7
T0003,14.5,14.7,14.7,14.7,14.7,14.7
T0004,14.5,14.7,14.7,14.7,14.7,14.7
T0005,14.5,14.7,14.7,14.7,14.7,14.7
T0006,14.5,14.7,14.7,14.7,14.7,14.7
T0007,14.5,14.7,14.7,14.7,14.7,14.7
T0008,17.9,21.0,21.0,21.0,21.0,21.0
T0009,17.9,21.0,21.0,21.0,21.0,21.0
T0010,20.2,26.5,26.5,26.5,26.5,26.5
T0011,20.2,26.5,26.5,26.5,26.5,26.5
T0012,17.9,21.0,21.0,21.0,21.0,21.0
T0013,17.9,21.0,21.0,21.0,21.0,21.0
T0014,17.9,21.0,21.0,21.0,21.0,21.0
T0015,17.9,21.0,21.0,21.0,21.0,21.0
T0016,17.9,21.0,21.0,21.0,21.0,21.0
T0017,17.9,21.0,21.0,21.0,21.0,21.0
T0018,17.9,21.0,21.0,21.0,21.0,21.0
T0019,20.2,26.5,26.5,26.5,26.5,26.5
T0020,20.2,26.5,26.5,26.5,26.5,26.5
T0021,17.9,21.0,21.0,21.0,21.0,21.0
T0022,17.9,21.0,21.0,21.0,21.0,21.0
T0023,17.9,21.0,21.0,21.0,21.0,21.0
T0024,14.5,14.7,14.7,14.7,14.7,14.7
T0025,14.5,14.7,14.7,14.7,14.7,14.7
T0026,14.5,14.7,14.7,14.7,14.7,14.7
T0027,14.5,14.7,14.7,14.7,14.7,14.7
T0028,14.5,14.7,14.7,14.7,14.7,14.7
T0029,14.5,14.7,14.7,14.7,14.7,14.7
T0030,14.5,14.7,14.7,14.7,14.7,14.7
T0031,14.5,14.7,14.7,14.7,14.7,14.7
T0032,17.9,21.0,21.0,21.0,21.0,21.0
T0033,17.9,21.0,21.0,21.0,21.0,21.0
T0034,20.2,26.5,26.5,26.5,26.5,26.5
T0035,20.2,26.5,26.5,26.5,26.5,26.5
T0036,17.9,21.0,21.0,21.0,21.0,21.0
T0037,17.9,21.0,21.0,21.0,21.0,21.0
T0038,17.9,21.0,21.0,21.0,21.0,21.0
T0039,17.9,21.0,21.0,21.0,21.0,21.0
T0040,17.9,21.0,21.0,21.0,21.0,21.0
T0041,17.9,21.0,21.0,21.0,21.0,21.0
T0042,17.9,21.0,21.0,21.0,21.0,21.0
T0043,20.2,26.5,26.5,26.5,26.5,26.5
T0044,20.2,26.5,26.5,26.5,26.5,26.5
T0045,17.9,21.0,21.0,21.0,21.0,21.0
T0046,17.9,21.0,21.0,21.0,21.0,21.0
T0047,17.9,21.0,21.0,21.0,21.0,21.0
T0048,14.5,14.7,14.7,14.7,14.7,14.7
T0049,14.5,14.7,14.7,14.7,14.7,14.7
T0050,14.5,14.7,14.7,14.7,14.7,14.7
T0051,14.5,14.7,14.7,14.7,14.7,14.7
T0052,14.5,14.7,14.7,14.7,14.7,14.7
T0053,14.5,14.7,14.7,14.7,14.7,14.7
T0054,14.5,14.7,14.7,14.7,14.7,14.7
T0055,14.5,14.7,14.7,14.7,14.7,14.7
T0056,17.9,21.0,21.0,21.0,21.0,21.0
T0057,17.9,21.0,21.0,21.0,21.0,21.0
T0058,20.2,26.5,26.5,26.5,26.5,26.5
T0059,20.2,26.5,26.5,26.5,26.5,26.5
T0060,17.9,21.0,21.0,21.0,21.0,21.0
T0061,17.9,21.0,21.0,21.0,21.0,21.0
T0062,17.9,21.0,21.0,21.0,21.0,21.0
T0063,17.9,21.0,21.0,21.0,21.0,21.0
T0064,17.9,21.0,21.0,21.0,21.0,21.0
T0065,17.9,21.0,21.0,21.0,21.0,21.0
T0066,17.9,21.0,21.0,21.0,21.0,21.0
T0067,20.2,26.5,26.5,26.5,26.5,26.5
T0068,20.2,26.5,26.5,26.5,26.5,26.5
T0069,17.9,21.0,21.0,21.0,21.0,21.0
T0070,17.9,21.0,21.0,21.0,21.0,21.0
T0071,17.9,21.0,21.0,21.0,21.0,21.0
T0072,14.5,14.7,14.7,14.7,14.7,14.7
T0073,14.5,14.7,14.7,14.7,14.7,14.7
T0074,14.5,14.7,14.7,14.7,14.7,14.7
T0075,14.5,14.7,14.7,14.7,14.7,14.7
T0076,14.5,14.7,14.7,14.7,14.7,14.7
T0077,14.5,14.7,14.7,14.7,14.7,14.7
T0078,14.5,14.7,14.7,14.7,14.7,14.7
T0079,14.5,14.7,14.7,14.7,14.7,14.7
T0080,17.9,21.0,21.0,21.0,21.0,21.0
T0081,17.9,21.0,21.0,21.0,21.0,21.0
