,AMV1,AMV4,ARC,ARGO5,ARGO6,AVV1,AVV2,HCV7,HCV8,KKV8,VF5,VF6,HOB_BG,HOB_EL,HOB_GO,HOB_GO_NOETS,HOB_NG,HOB_NG_NOETS,HOB_WP,HP_AMBIENT,HP_PROCESS,INDUSTRY,ELECTRIC_CHILLER,FREE_COOLING,HR_DC
T0001,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.141,3.371,1,5.241,23.1,3.371
T0002,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.131,3.371,1,5.309,23.1,3.371
T0003,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.209,3.371,1,5.332,23.1,3.371
T0004,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.235,3.371,1,5.279,23.1,3.371
T0005,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.224,3.371,1,5.271,23.1,3.371
T0006,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.23,3.371,1,5.226,23.1,3.371
T0007,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.24,3.371,1,5.119,23.1,3.371
T0008,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.245,3.371,1,5.058,23.1,3.371
T0009,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.24,3.371,1,5.066,23.1,3.371
T0010,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.235,3.371,1,5.058,23.1,3.371
T0011,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.235,3.371,1,5.05,23.1,3.371
T0012,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.255,3.371,1,5.035,23.1,3.371
T0013,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.24,3.371,1,5.02,23.1,3.371
T0014,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.23,3.371,1,5.02,23.1,3.371
T0015,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.214,3.371,1,5.028,23.1,3.371
T0016,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.189,3.371,1,5.043,23.1,3.371
T0017,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.16,3.371,1,5.058,23.1,3.371
T0018,0.92,1.13,0.99,0.8,0.99,0.34,0.36,0.89,0.89,0.9,0.99,0.99,1.03,0.99,1.03,1.03,1.03,1.03,1.01,3.112,3.371,1,5.081,23.1,3.371
