,AMV1,AMV4,AVV1,AVV2,HCV7,HCV8,SMV1_SMV7,KKV8,ARC,ARGO5,ARGO6,VF5,VF6,HOB_electric,HOB_biogas,HOB_fueloil,HOB_gasoil,HOB_natgas,HOB_pellets,HP_air
T0001,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,40.33710811,68.35,58.795,74.291,79.969,41.44,40.337
T0002,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.82023436,68.35,58.795,74.291,79.969,41.44,39.82
T0003,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.71394349,68.35,58.795,74.291,79.969,41.44,39.714
T0004,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.77078198,68.35,58.795,74.291,79.969,41.44,39.771
T0005,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.19251236,68.35,58.795,74.291,79.969,41.44,39.193
T0006,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.09810482,68.35,58.795,74.291,79.969,41.44,39.098
T0007,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.61414894,68.35,58.795,74.291,79.969,41.44,38.614
T0008,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.76769242,68.35,58.795,74.291,79.969,41.44,38.768
T0009,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.97789177,68.35,58.795,74.291,79.969,41.44,38.978
T0010,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.63503565,68.35,58.795,74.291,79.969,41.44,38.635
T0011,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.12917816,68.35,58.795,74.291,79.969,41.44,38.129
T0012,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.10714466,68.35,58.795,74.291,79.969,41.44,38.107
T0013,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,37.72639071,68.35,58.795,74.291,79.969,41.44,37.726
T0014,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.43232961,68.35,58.795,74.291,79.969,41.44,38.432
T0015,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.83652571,68.35,58.795,74.291,79.969,41.44,38.837
T0016,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.33193352,68.35,58.795,74.291,79.969,41.44,39.332
T0017,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.75561284,68.35,58.795,74.291,79.969,41.44,39.756
T0018,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,40.01284537,68.35,58.795,74.291,79.969,41.44,40.013
T0019,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.72625113,68.35,58.795,74.291,79.969,41.44,39.726
T0020,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.59257529,68.35,58.795,74.291,79.969,41.44,39.593
T0021,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.18930568,68.35,58.795,74.291,79.969,41.44,39.189
T0022,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.80521544,68.35,58.795,74.291,79.969,41.44,38.805
T0023,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,38.54787042,68.35,58.795,74.291,79.969,41.44,38.548
T0024,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.36755607,68.35,58.795,74.291,79.969,41.44,39.368
