,AMV3,AVV1,AVV2,AMV1,AMV4,ARC,ARGO5,ARGO6,HCV7,HCV8,KKV7,KKV8,VF5,VF6,HOB_BG,HOB_EL,HOB_FO,HOB_GO,HOB_NG,HOB_WP,HOB_WW,EH,HP
T0001,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,40.34,29.60,47.22,22.32,34.92,12.07,0.00,40.34
T0002,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,39.82,29.60,47.22,22.32,34.92,12.07,0.00,39.82
T0003,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,39.71,29.60,47.22,22.32,34.92,12.07,0.00,39.71
T0004,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,39.77,29.60,47.22,22.32,34.92,12.07,0.00,39.77
T0005,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,39.19,29.60,47.22,22.32,34.92,12.07,0.00,39.19
T0006,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,39.10,29.60,47.22,22.32,34.92,12.07,0.00,39.10
T0007,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,38.61,29.60,47.22,22.32,34.92,12.07,0.00,38.61
T0008,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,38.77,29.60,47.22,22.32,34.92,12.07,0.00,38.77
T0009,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,38.98,29.60,47.22,22.32,34.92,12.07,0.00,38.98
T0010,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,38.64,29.60,47.22,22.32,34.92,12.07,0.00,38.64
T0011,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,38.13,29.60,47.22,22.32,34.92,12.07,0.00,38.13
T0012,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,38.11,29.60,47.22,22.32,34.92,12.07,0.00,38.11
T0013,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,37.73,29.60,47.22,22.32,34.92,12.07,0.00,37.73
T0014,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,38.43,29.60,47.22,22.32,34.92,12.07,0.00,38.43
T0015,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,38.84,29.60,47.22,22.32,34.92,12.07,0.00,38.84
T0016,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,39.33,29.60,47.22,22.32,34.92,12.07,0.00,39.33
T0017,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,39.76,29.60,47.22,22.32,34.92,12.07,0.00,39.76
T0018,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,40.01,29.60,47.22,22.32,34.92,12.07,0.00,40.01
T0019,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,39.73,29.60,47.22,22.32,34.92,12.07,0.00,39.73
T0020,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,39.59,29.60,47.22,22.32,34.92,12.07,0.00,39.59
T0021,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,39.19,29.60,47.22,22.32,34.92,12.07,0.00,39.19
T0022,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,38.81,29.60,47.22,22.32,34.92,12.07,0.00,38.81
T0023,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,38.55,29.60,47.22,22.32,34.92,12.07,0.00,38.55
T0024,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,39.37,29.60,47.22,22.32,34.92,12.07,0.00,39.37
T0025,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,39.67,29.60,47.22,22.32,34.92,12.07,0.00,39.67
T0026,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,38.85,29.60,47.22,22.32,34.92,12.07,0.00,38.85
T0027,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,37.01,29.60,47.22,22.32,34.92,12.07,0.00,37.01
