T,G,F,CASE,value
T0001,electric_chiller,electricity,integrated,0.0
T0001,electric_chiller,electricity,reference,0.0
T0001,free_cooling,electricity,integrated,0.0
T0001,free_cooling,electricity,reference,4.0
T0001,HR_DC,electricity,integrated,4.0
T0001,HR_DC,electricity,reference,0.0
T0002,electric_chiller,electricity,integrated,0.0
T0002,electric_chiller,electricity,reference,0.0
T0002,free_cooling,electricity,integrated,0.0
T0002,free_cooling,electricity,reference,4.0
T0002,HR_DC,electricity,integrated,4.0
T0002,HR_DC,electricity,reference,0.0
T0003,electric_chiller,electricity,integrated,0.0
T0003,electric_chiller,electricity,reference,0.0
T0003,free_cooling,electricity,integrated,0.0
T0003,free_cooling,electricity,reference,4.0
T0003,HR_DC,electricity,integrated,4.0
T0003,HR_DC,electricity,reference,0.0
T0004,electric_chiller,electricity,integrated,0.0
T0004,electric_chiller,electricity,reference,0.0
T0004,free_cooling,electricity,integrated,0.0
T0004,free_cooling,electricity,reference,4.0
T0004,HR_DC,electricity,integrated,4.0
T0004,HR_DC,electricity,reference,0.0
T0005,electric_chiller,electricity,integrated,0.0
T0005,electric_chiller,electricity,reference,0.0
T0005,free_cooling,electricity,integrated,0.0
T0005,free_cooling,electricity,reference,4.0
T0005,HR_DC,electricity,integrated,4.0
T0005,HR_DC,electricity,reference,0.0
T0006,electric_chiller,electricity,integrated,0.0
T0006,electric_chiller,electricity,reference,0.0
T0006,free_cooling,electricity,integrated,0.0
T0006,free_cooling,electricity,reference,4.0
T0006,HR_DC,electricity,integrated,4.0
T0006,HR_DC,electricity,reference,0.0
T0007,electric_chiller,electricity,integrated,0.0
T0007,electric_chiller,electricity,reference,0.0
T0007,free_cooling,electricity,integrated,0.0
T0007,free_cooling,electricity,reference,4.0
T0007,HR_DC,electricity,integrated,4.0
T0007,HR_DC,electricity,reference,0.0
T0008,electric_chiller,electricity,integrated,0.0
T0008,electric_chiller,electricity,reference,0.0
T0008,free_cooling,electricity,integrated,0.0
T0008,free_cooling,electricity,reference,4.0
T0008,HR_DC,electricity,integrated,4.0
T0008,HR_DC,electricity,reference,0.0
T0009,electric_chiller,electricity,integrated,0.0
T0009,electric_chiller,electricity,reference,0.0
