T,value
T0001,104.91599416125077
T0002,104.91599416125077
T0003,104.91599416125077
T0004,104.91599416125077
T0005,104.91599416125077
T0006,104.91599416125077
T0007,104.91599416125077
T0008,104.91599416125077
T0009,104.91599416125077
T0010,104.91599416125077
T0011,104.91599416125077
T0012,104.91599416125077
T0013,104.91599416125077
T0014,104.91599416125077
T0015,104.91599416125077
T0016,104.91599416125077
T0017,104.91599416125077
T0018,104.91599416125077
T0019,104.91599416125077
T0020,104.91599416125077
T0021,104.91599416125077
T0022,104.91599416125077
T0023,104.91599416125077
T0024,104.91599416125077
T0025,104.91599416125077
T0026,104.91599416125077
T0027,104.91599416125077
T0028,104.91599416125077
T0029,104.91599416125077
T0030,104.91599416125077
T0031,104.91599416125077
T0032,104.91599416125077
T0033,104.91599416125077
T0034,104.91599416125077
T0035,104.91599416125077
T0036,104.91599416125077
T0037,104.91599416125077
T0038,104.91599416125077
T0039,104.91599416125077
T0040,104.91599416125077
T0041,104.91599416125077
T0042,104.91599416125077
T0043,104.91599416125077
T0044,104.91599416125077
T0045,104.91599416125077
T0046,104.91599416125077
T0047,104.91599416125077
T0048,104.91599416125077
T0049,104.91599416125077
T0050,104.91599416125077
T0051,104.91599416125077
T0052,104.91599416125077
T0053,104.91599416125077
T0054,104.91599416125077
T0055,104.91599416125077
T0056,104.91599416125077
T0057,104.91599416125077
T0058,104.91599416125077
T0059,104.91599416125077
T0060,104.91599416125077
T0061,104.91599416125077
T0062,104.91599416125077
T0063,104.91599416125077
T0064,104.91599416125077
T0065,104.91599416125077
T0066,104.91599416125077
T0067,104.91599416125077
T0068,104.91599416125077
T0069,104.91599416125077
T0070,104.91599416125077
T0071,104.91599416125077
T0072,104.91599416125077
T0073,104.91599416125077
T0074,104.91599416125077
T0075,104.91599416125077
T0076,104.91599416125077
T0077,104.91599416125077
T0078,104.91599416125077
T0079,104.91599416125077
T0080,104.91599416125077
T0081,104.91599416125077
T0082,104.91599416125077
T0083,104.91599416125077
T0084,104.91599416125077
T0085,104.91599416125077
T0086,104.91599416125077
T0087,104.91599416125077
T0088,104.91599416125077
T0089,104.91599416125077
T0090,104.91599416125077
T0091,104.91599416125077
T0092,104.91599416125077
T0093,104.91599416125077
T0094,104.91599416125077
T0095,104.91599416125077
T0096,104.91599416125077
T0097,104.91599416125077
T0098,104.91599416125077
T0099,104.91599416125077
