scenario_id,override,solve_mode,country,policytype
DEsoc,none,iterative,DE,socioeconomic
DEtax,none,iterative,DE,taxation
DEsup,none,iterative,DE,support
DKsoc,none,iterative,DK,socioeconomic
DKtax,none,iterative,DK,taxation
DKsup,none,iterative,DK,support
FRsoc,none,iterative,FR,socioeconomic
FRtax,none,iterative,FR,taxation
FRsup,none,iterative,FR,support
SADR00_DEsoc,DR00,iterative,DE,socioeconomic
SADR00_DEtax,DR00,iterative,DE,taxation
SADR00_DEsup,DR00,iterative,DE,support
SADR00_DKsoc,DR00,iterative,DK,socioeconomic
SADR00_DKtax,DR00,iterative,DK,taxation
SADR00_DKsup,DR00,iterative,DK,support
SADR00_FRsoc,DR00,iterative,FR,socioeconomic
SADR00_FRtax,DR00,iterative,FR,taxation
SADR00_FRsup,DR00,iterative,FR,support
SADR02_DEsoc,DR02,iterative,DE,socioeconomic
SADR02_DEtax,DR02,iterative,DE,taxation
SADR02_DEsup,DR02,iterative,DE,support
SADR02_DKsoc,DR02,iterative,DK,socioeconomic
SADR02_DKtax,DR02,iterative,DK,taxation
SADR02_DKsup,DR02,iterative,DK,support
SADR02_FRsoc,DR02,iterative,FR,socioeconomic
SADR02_FRtax,DR02,iterative,FR,taxation
SADR02_FRsup,DR02,iterative,FR,support
SADR04_DEsoc,DR04,iterative,DE,socioeconomic
SADR04_DEtax,DR04,iterative,DE,taxation
SADR04_DEsup,DR04,iterative,DE,support
SADR04_DKsoc,DR04,iterative,DK,socioeconomic
SADR04_DKtax,DR04,iterative,DK,taxation
SADR04_DKsup,DR04,iterative,DK,support
SADR04_FRsoc,DR04,iterative,FR,socioeconomic
SADR04_FRtax,DR04,iterative,FR,taxation
SADR04_FRsup,DR04,iterative,FR,support
SADR06_DEsoc,DR06,iterative,DE,socioeconomic
SADR06_DEtax,DR06,iterative,DE,taxation
SADR06_DEsup,DR06,iterative,DE,support
SADR06_DKsoc,DR06,iterative,DK,socioeconomic
SADR06_DKtax,DR06,iterative,DK,taxation
SADR06_DKsup,DR06,iterative,DK,support
SADR06_FRsoc,DR06,iterative,FR,socioeconomic
SADR06_FRtax,DR06,iterative,FR,taxation
SADR06_FRsup,DR06,iterative,FR,support
SADR08_DEsoc,DR08,iterative,DE,socioeconomic
SADR08_DEtax,DR08,iterative,DE,taxation
SADR08_DEsup,DR08,iterative,DE,support
SADR08_DKsoc,DR08,iterative,DK,socioeconomic
SADR08_DKtax,DR08,iterative,DK,taxation
SADR08_DKsup,DR08,iterative,DK,support
SADR08_FRsoc,DR08,iterative,FR,socioeconomic
SADR08_FRtax,DR08,iterative,FR,taxation
SADR08_FRsup,DR08,iterative,FR,support
SADR10_DEsoc,DR10,iterative,DE,socioeconomic
SADR10_DEtax,DR10,iterative,DE,taxation
SADR10_DEsup,DR10,iterative,DE,support
SADR10_DKsoc,DR10,iterative,DK,socioeconomic
SADR10_DKtax,DR10,iterative,DK,taxation
SADR10_DKsup,DR10,iterative,DK,support
SADR10_FRsoc,DR10,iterative,FR,socioeconomic
SADR10_FRtax,DR10,iterative,FR,taxation
SADR10_FRsup,DR10,iterative,FR,support
SADR12_DEsoc,DR12,iterative,DE,socioeconomic
SADR12_DEtax,DR12,iterative,DE,taxation
SADR12_DEsup,DR12,iterative,DE,support
SADR12_DKsoc,DR12,iterative,DK,socioeconomic
SADR12_DKtax,DR12,iterative,DK,taxation
SADR12_DKsup,DR12,iterative,DK,support
SADR12_FRsoc,DR12,iterative,FR,socioeconomic
SADR12_FRtax,DR12,iterative,FR,taxation
SADR12_FRsup,DR12,iterative,FR,support
SAEPmin_DEsoc,EPmin,iterative,DE,socioeconomic
SAEPmin_DEtax,EPmin,iterative,DE,taxation
SAEPmin_DEsup,EPmin,iterative,DE,support
SAEPmin_DKsoc,EPmin,iterative,DK,socioeconomic
SAEPmin_DKtax,EPmin,iterative,DK,taxation
SAEPmin_DKsup,EPmin,iterative,DK,support
SAEPmin_FRsoc,EPmin,iterative,FR,socioeconomic
SAEPmin_FRtax,EPmin,iterative,FR,taxation
SAEPmin_FRsup,EPmin,iterative,FR,support
SAEPmed_DEsoc,EPmed,iterative,DE,socioeconomic
SAEPmed_DEtax,EPmed,iterative,DE,taxation
SAEPmed_DEsup,EPmed,iterative,DE,support
SAEPmed_DKsoc,EPmed,iterative,DK,socioeconomic
SAEPmed_DKtax,EPmed,iterative,DK,taxation
SAEPmed_DKsup,EPmed,iterative,DK,support
SAEPmed_FRsoc,EPmed,iterative,FR,socioeconomic
SAEPmed_FRtax,EPmed,iterative,FR,taxation
SAEPmed_FRsup,EPmed,iterative,FR,support
SAEPmax_DEsoc,EPmax,iterative,DE,socioeconomic
SAEPmax_DEtax,EPmax,iterative,DE,taxation
SAEPmax_DEsup,EPmax,iterative,DE,support
SAEPmax_DKsoc,EPmax,iterative,DK,socioeconomic
SAEPmax_DKtax,EPmax,iterative,DK,taxation
SAEPmax_DKsup,EPmax,iterative,DK,support
SAEPmax_FRsoc,EPmax,iterative,FR,socioeconomic
SAEPmax_FRtax,EPmax,iterative,FR,taxation
SAEPmax_FRsup,EPmax,iterative,FR,support
test-model-pipeline,none,static,DE,support
test-common,none,static,DE,support
test-override,OVRRD,static,DE,support
